name,url,image,latitude,longitude,accessibility
Retenční nádrž,https://www.kafelanka.cz/mista/retencka2.php,https://www.kafelanka.cz/v/retencka2-2.jpg,49.2252083333,16.5611861111,přístupné
Denis,https://www.kafelanka.cz/mista/denis.php,https://www.kafelanka.cz/v/denis-2.jpg,49.190075,16.6081666667,přístupné
Jeskyňka,https://www.kafelanka.cz/mista/jeskyn6.php,https://www.kafelanka.cz/v/jeskyn6-1.jpg,49.2367361111,16.6330722222,přístupné
Komín,https://www.kafelanka.cz/mista/komin3.php,https://www.kafelanka.cz/v/komin3-1.jpg,49.2320277778,16.639105,přístupné
Sklípek,https://www.kafelanka.cz/mista/sklep5.php,https://www.kafelanka.cz/v/sklep5-4.jpg,49.2251388889,16.6628158333,přístupné
Sklípek,https://www.kafelanka.cz/mista/sklep5.php,https://www.kafelanka.cz/v/sklep5-6.jpg,49.2321638889,16.6705805556,přístupné
Sklípek,https://www.kafelanka.cz/mista/sklep5.php,https://www.kafelanka.cz/v/sklep5-1.jpg,49.2253111111,16.6631611111,přístupné
Restaurace,https://www.kafelanka.cz/mista/restaurace.php,https://www.kafelanka.cz/v/restaurace-1.jpg,49.2246527778,16.6647583333,přístupné
Stěna,https://www.kafelanka.cz/mista/stena.php,https://www.kafelanka.cz/v/stena-1.jpg,49.2307305556,16.6418444444,přístupné
Skrýš,https://www.kafelanka.cz/mista/pisek.php,https://www.kafelanka.cz/v/pisek-3.jpg,49.230675,16.6427527778,přístupné
Kolektor,https://www.kafelanka.cz/mista/kolektor.php,https://www.kafelanka.cz/v/kolektor-1.jpg,49.1830666667,16.604625,přístupné
Propustek,https://www.kafelanka.cz/mista/stoky2.php,https://www.kafelanka.cz/v/stoky2-2.jpg,49.220375,16.6061138889,přístupné
Studánka,https://www.kafelanka.cz/mista/studanka3.php,https://www.kafelanka.cz/v/studanka3-1.jpg,49.1968611111,16.5509916667,přístupné
Amfiteátr,https://www.kafelanka.cz/mista/amfiteatr.php,https://www.kafelanka.cz/v/amfiteatr-2.jpg,49.2300138889,16.6277555556,přístupné
Pumpa,https://www.kafelanka.cz/mista/pumpa2.php,https://www.kafelanka.cz/v/pumpa2-3.jpg,49.2277833333,16.6257694444,přístupné
Úkryt CO,https://www.kafelanka.cz/mista/krytco3.php,https://www.kafelanka.cz/v/krytco3-2.jpg,49.1834138889,16.6157777778,přístupné
Pila,https://www.kafelanka.cz/mista/pila.php,https://www.kafelanka.cz/v/pila-1.jpg,49.1791305556,16.6144166667,přístupné
Dílny,https://www.kafelanka.cz/mista/dilny.php,https://www.kafelanka.cz/v/dilny-6.jpg,49.2264944444,16.6110277778,přístupné
Sklad CO,https://www.kafelanka.cz/mista/krytco4.php,https://www.kafelanka.cz/v/krytco4-1.jpg,49.1816666667,16.6172888889,přístupné
Zahrady,https://www.kafelanka.cz/mista/zahrady.php,https://www.kafelanka.cz/v/zahrady-5.jpg,49.2196805556,16.6084944444,přístupné
Studánka,https://www.kafelanka.cz/mista/studanka4.php,https://www.kafelanka.cz/v/studanka4-2.jpg,49.2089169444,16.6546447222,přístupné
Sjezdovka,https://www.kafelanka.cz/mista/sjezdovka.php,https://www.kafelanka.cz/v/sjezdovka-3.jpg,49.204325,16.5732305556,přístupné
Sklepy,https://www.kafelanka.cz/mista/hlinky.php,https://www.kafelanka.cz/v/hlinky-1.jpg,49.1902222222,16.5896916667,přístupné
Zahrady,https://www.kafelanka.cz/mista/domek.php,https://www.kafelanka.cz/v/domek-1.jpg,49.1810388889,16.5478083333,přístupné
Studánka,https://www.kafelanka.cz/mista/studanka5.php,https://www.kafelanka.cz/v/studanka5-3.jpg,49.2248977778,16.6649927778,přístupné
Pumpa,https://www.kafelanka.cz/mista/pumpa.php,https://www.kafelanka.cz/v/pumpa-4.jpg,49.2075805556,16.6082611111,přístupné
Sklípek,https://www.kafelanka.cz/mista/sklep6.php,https://www.kafelanka.cz/v/sklep6-2.jpg,49.2026194444,16.5718222222,přístupné
Čekárna,https://www.kafelanka.cz/mista/zastavka.php,https://www.kafelanka.cz/v/zastavka-1.jpg,49.2009611111,16.5757833333,přístupné
Zahrady,https://www.kafelanka.cz/mista/zahrady2.php,https://www.kafelanka.cz/v/zahrady2-11.jpg,49.2042722222,16.6514527778,přístupné
Studánka,https://www.kafelanka.cz/mista/studanka6.php,https://www.kafelanka.cz/v/studanka6-2.jpg,49.1836647222,16.5676677778,přístupné
Odpad,https://www.kafelanka.cz/mista/odpad2.php,https://www.kafelanka.cz/v/odpad2-1.jpg,49.1892447222,16.5626647222,přístupné
Ubytovna,https://www.kafelanka.cz/mista/barak.php,https://www.kafelanka.cz/v/barak-1.jpg,49.1807944444,16.5695055556,neexistuje
Zahrady,https://www.kafelanka.cz/mista/zahrady3.php,https://www.kafelanka.cz/v/zahrady3-9.jpg,49.1913916667,16.6632472222,přístupné
Zeď,https://www.kafelanka.cz/mista/zed.php,https://www.kafelanka.cz/v/zed-2.jpg,49.1886138889,16.5657583333,přístupné
Boží muka,https://www.kafelanka.cz/mista/bozimuka.php,https://www.kafelanka.cz/v/bozimuka-2.jpg,49.1820472222,16.6105694444,přístupné
Potok,https://www.kafelanka.cz/mista/potok3.php,https://www.kafelanka.cz/v/potok3-1.jpg,49.2081055556,16.6090916667,přístupné
Potok,https://www.kafelanka.cz/mista/potok3.php,https://www.kafelanka.cz/v/potok3-16.jpg,49.206025,16.6107,přístupné
